"V1","V2","V3"
34,22,3
34,23,3
34,24,3
34,25,3
34,26,3
34,20,4
35,20,4
34,21,4
34,22,4
34,23,4
35,23,4
34,24,4
34,25,4
35,25,4
33,26,4
34,26,4
35,26,4
34,27,4
34,21,5
34,22,5
35,22,5
33,23,5
34,23,5
35,23,5
32,24,5
33,24,5
34,24,5
35,24,5
32,25,5
33,25,5
34,25,5
35,25,5
36,25,5
33,26,5
34,26,5
35,26,5
33,20,6
34,20,6
35,20,6
33,21,6
34,21,6
35,21,6
26,22,6
27,22,6
33,22,6
34,22,6
35,22,6
39,22,6
26,23,6
27,23,6
28,23,6
29,23,6
31,23,6
32,23,6
33,23,6
34,23,6
35,23,6
36,23,6
37,23,6
38,23,6
39,23,6
40,23,6
25,24,6
29,24,6
30,24,6
31,24,6
32,24,6
33,24,6
34,24,6
35,24,6
36,24,6
37,24,6
38,24,6
39,24,6
40,24,6
31,25,6
32,25,6
33,25,6
34,25,6
35,25,6
36,25,6
37,25,6
38,25,6
39,25,6
32,26,6
33,26,6
36,26,6
33,18,7
33,19,7
34,19,7
35,19,7
28,20,7
33,20,7
34,20,7
35,20,7
27,21,7
28,21,7
29,21,7
33,21,7
34,21,7
35,21,7
25,22,7
26,22,7
27,22,7
28,22,7
29,22,7
30,22,7
31,22,7
32,22,7
33,22,7
34,22,7
35,22,7
36,22,7
37,22,7
38,22,7
39,22,7
25,23,7
26,23,7
27,23,7
28,23,7
29,23,7
30,23,7
31,23,7
32,23,7
33,23,7
34,23,7
35,23,7
36,23,7
37,23,7
38,23,7
39,23,7
40,23,7
25,24,7
26,24,7
27,24,7
30,24,7
31,24,7
32,24,7
33,24,7
36,24,7
37,24,7
38,24,7
39,24,7
40,24,7
41,24,7
38,25,7
39,25,7
40,25,7
39,26,7
30,27,7
33,16,8
33,17,8
32,18,8
33,18,8
34,18,8
35,18,8
28,19,8
32,19,8
33,19,8
34,19,8
35,19,8
27,20,8
28,20,8
29,20,8
30,20,8
31,20,8
32,20,8
33,20,8
34,20,8
35,20,8
36,20,8
27,21,8
28,21,8
29,21,8
30,21,8
31,21,8
32,21,8
33,21,8
34,21,8
35,21,8
36,21,8
37,21,8
38,21,8
25,22,8
26,22,8
27,22,8
28,22,8
29,22,8
30,22,8
31,22,8
32,22,8
33,22,8
34,22,8
35,22,8
36,22,8
37,22,8
38,22,8
39,22,8
25,23,8
26,23,8
27,23,8
28,23,8
29,23,8
30,23,8
31,23,8
32,23,8
33,23,8
34,23,8
35,23,8
36,23,8
37,23,8
38,23,8
39,23,8
40,23,8
25,24,8
26,24,8
27,24,8
28,24,8
29,24,8
30,24,8
31,24,8
32,24,8
33,24,8
40,24,8
41,24,8
28,25,8
29,25,8
30,25,8
31,25,8
32,25,8
33,25,8
29,26,8
30,26,8
31,26,8
32,26,8
33,26,8
29,27,8
30,27,8
31,27,8
33,16,9
33,17,9
29,18,9
32,18,9
33,18,9
34,18,9
26,19,9
27,19,9
28,19,9
29,19,9
30,19,9
31,19,9
32,19,9
33,19,9
34,19,9
35,19,9
26,20,9
27,20,9
28,20,9
29,20,9
30,20,9
31,20,9
32,20,9
33,20,9
34,20,9
35,20,9
26,21,9
27,21,9
28,21,9
29,21,9
30,21,9
31,21,9
32,21,9
33,21,9
34,21,9
35,21,9
36,21,9
26,22,9
27,22,9
28,22,9
29,22,9
30,22,9
31,22,9
32,22,9
33,22,9
34,22,9
35,22,9
36,22,9
37,22,9
38,22,9
39,22,9
26,23,9
27,23,9
28,23,9
29,23,9
30,23,9
31,23,9
32,23,9
33,23,9
34,23,9
35,23,9
36,23,9
37,23,9
38,23,9
39,23,9
40,23,9
26,24,9
27,24,9
28,24,9
29,24,9
30,24,9
31,24,9
32,24,9
33,24,9
40,24,9
26,25,9
27,25,9
28,25,9
29,25,9
30,25,9
31,25,9
32,25,9
33,25,9
40,25,9
27,26,9
28,26,9
29,26,9
30,26,9
31,26,9
27,27,9
28,27,9
29,27,9
33,14,10
35,14,10
36,14,10
37,14,10
33,15,10
36,15,10
37,15,10
38,15,10
32,16,10
33,16,10
32,17,10
33,17,10
29,18,10
30,18,10
31,18,10
32,18,10
33,18,10
34,18,10
25,19,10
26,19,10
27,19,10
28,19,10
29,19,10
30,19,10
31,19,10
32,19,10
33,19,10
34,19,10
35,19,10
25,20,10
26,20,10
27,20,10
28,20,10
29,20,10
30,20,10
31,20,10
32,20,10
33,20,10
34,20,10
35,20,10
25,21,10
26,21,10
27,21,10
28,21,10
29,21,10
30,21,10
31,21,10
32,21,10
33,21,10
34,21,10
35,21,10
26,22,10
27,22,10
28,22,10
29,22,10
30,22,10
31,22,10
32,22,10
33,22,10
34,22,10
35,22,10
36,22,10
37,22,10
27,23,10
28,23,10
29,23,10
30,23,10
31,23,10
32,23,10
33,23,10
34,23,10
35,23,10
36,23,10
37,23,10
38,23,10
39,23,10
40,23,10
27,24,10
28,24,10
29,24,10
30,24,10
31,24,10
32,24,10
33,24,10
37,24,10
38,24,10
39,24,10
40,24,10
27,25,10
28,25,10
29,25,10
30,25,10
31,25,10
36,25,10
37,25,10
39,25,10
40,25,10
28,26,10
29,26,10
30,26,10
36,26,10
37,26,10
38,26,10
40,26,10
28,27,10
29,27,10
39,27,10
37,11,11
36,12,11
37,12,11
32,13,11
33,13,11
35,13,11
36,13,11
37,13,11
38,13,11
31,14,11
32,14,11
33,14,11
34,14,11
35,14,11
36,14,11
37,14,11
31,15,11
32,15,11
33,15,11
34,15,11
35,15,11
36,15,11
37,15,11
38,15,11
39,15,11
32,16,11
33,16,11
34,16,11
37,16,11
38,16,11
39,16,11
40,16,11
31,17,11
32,17,11
33,17,11
34,17,11
26,18,11
29,18,11
30,18,11
31,18,11
32,18,11
33,18,11
34,18,11
25,19,11
26,19,11
27,19,11
28,19,11
29,19,11
30,19,11
31,19,11
32,19,11
33,19,11
34,19,11
25,20,11
26,20,11
27,20,11
28,20,11
29,20,11
30,20,11
31,20,11
32,20,11
33,20,11
34,20,11
35,20,11
25,21,11
26,21,11
27,21,11
28,21,11
29,21,11
30,21,11
31,21,11
32,21,11
33,21,11
34,21,11
35,21,11
38,21,11
39,21,11
26,22,11
27,22,11
28,22,11
29,22,11
30,22,11
31,22,11
32,22,11
33,22,11
34,22,11
35,22,11
36,22,11
37,22,11
38,22,11
39,22,11
40,22,11
27,23,11
28,23,11
29,23,11
30,23,11
31,23,11
32,23,11
33,23,11
34,23,11
35,23,11
36,23,11
37,23,11
38,23,11
39,23,11
40,23,11
27,24,11
28,24,11
29,24,11
30,24,11
31,24,11
32,24,11
33,24,11
34,24,11
35,24,11
36,24,11
37,24,11
38,24,11
39,24,11
40,24,11
28,25,11
29,25,11
30,25,11
31,25,11
33,25,11
35,25,11
36,25,11
37,25,11
38,25,11
39,25,11
40,25,11
29,26,11
30,26,11
31,26,11
36,26,11
37,26,11
38,26,11
39,26,11
40,26,11
29,27,11
30,27,11
31,27,11
38,27,11
36,12,12
37,12,12
31,13,12
32,13,12
35,13,12
36,13,12
37,13,12
38,13,12
30,14,12
31,14,12
32,14,12
33,14,12
34,14,12
35,14,12
36,14,12
37,14,12
38,14,12
31,15,12
32,15,12
33,15,12
34,15,12
35,15,12
36,15,12
37,15,12
38,15,12
39,15,12
26,16,12
31,16,12
32,16,12
33,16,12
34,16,12
35,16,12
36,16,12
37,16,12
38,16,12
39,16,12
40,16,12
26,17,12
30,17,12
31,17,12
32,17,12
33,17,12
34,17,12
37,17,12
38,17,12
39,17,12
40,17,12
41,17,12
25,18,12
26,18,12
27,18,12
28,18,12
29,18,12
30,18,12
31,18,12
32,18,12
33,18,12
34,18,12
38,18,12
39,18,12
40,18,12
41,18,12
25,19,12
26,19,12
27,19,12
28,19,12
29,19,12
30,19,12
31,19,12
32,19,12
33,19,12
34,19,12
38,19,12
39,19,12
40,19,12
25,20,12
26,20,12
27,20,12
28,20,12
29,20,12
30,20,12
31,20,12
32,20,12
33,20,12
34,20,12
35,20,12
36,20,12
37,20,12
38,20,12
39,20,12
40,20,12
25,21,12
26,21,12
27,21,12
31,21,12
32,21,12
33,21,12
34,21,12
35,21,12
36,21,12
37,21,12
38,21,12
39,21,12
25,22,12
31,22,12
32,22,12
33,22,12
34,22,12
35,22,12
36,22,12
37,22,12
38,22,12
39,22,12
40,22,12
32,23,12
33,23,12
34,23,12
35,23,12
36,23,12
37,23,12
38,23,12
39,23,12
40,23,12
32,24,12
33,24,12
34,24,12
35,24,12
36,24,12
37,24,12
38,24,12
39,24,12
40,24,12
34,25,12
35,25,12
36,25,12
37,25,12
38,25,12
39,25,12
40,25,12
34,26,12
35,26,12
36,26,12
37,26,12
38,26,12
39,26,12
34,27,12
35,27,12
36,27,12
26,12,13
27,12,13
36,12,13
37,12,13
38,12,13
26,13,13
27,13,13
28,13,13
31,13,13
35,13,13
36,13,13
37,13,13
38,13,13
26,14,13
27,14,13
30,14,13
31,14,13
32,14,13
35,14,13
36,14,13
37,14,13
38,14,13
39,14,13
26,15,13
27,15,13
30,15,13
31,15,13
32,15,13
33,15,13
34,15,13
35,15,13
36,15,13
37,15,13
38,15,13
26,16,13
27,16,13
30,16,13
31,16,13
32,16,13
33,16,13
34,16,13
35,16,13
36,16,13
37,16,13
38,16,13
39,16,13
40,16,13
41,16,13
26,17,13
27,17,13
28,17,13
29,17,13
30,17,13
31,17,13
32,17,13
33,17,13
34,17,13
35,17,13
36,17,13
37,17,13
38,17,13
39,17,13
40,17,13
41,17,13
25,18,13
26,18,13
27,18,13
28,18,13
29,18,13
30,18,13
31,18,13
32,18,13
33,18,13
34,18,13
35,18,13
36,18,13
37,18,13
38,18,13
39,18,13
40,18,13
26,19,13
27,19,13
28,19,13
29,19,13
30,19,13
31,19,13
32,19,13
33,19,13
34,19,13
35,19,13
36,19,13
37,19,13
38,19,13
39,19,13
40,19,13
25,20,13
26,20,13
27,20,13
28,20,13
31,20,13
32,20,13
33,20,13
34,20,13
35,20,13
36,20,13
37,20,13
38,20,13
39,20,13
25,21,13
26,21,13
31,21,13
32,21,13
33,21,13
34,21,13
35,21,13
36,21,13
37,21,13
38,21,13
39,21,13
32,22,13
33,22,13
34,22,13
35,22,13
36,22,13
37,22,13
38,22,13
39,22,13
32,23,13
33,23,13
34,23,13
35,23,13
36,23,13
37,23,13
38,23,13
34,24,13
35,24,13
36,24,13
37,24,13
38,24,13
34,25,13
35,25,13
36,25,13
37,25,13
38,25,13
34,26,13
35,26,13
36,26,13
37,26,13
38,26,13
34,27,13
35,27,13
33,28,13
34,28,13
35,28,13
27,11,14
30,11,14
26,12,14
27,12,14
28,12,14
29,12,14
30,12,14
31,12,14
36,12,14
37,12,14
38,12,14
26,13,14
27,13,14
28,13,14
29,13,14
30,13,14
31,13,14
